NOC,Record
JAM,"100 meters:, Usain Bolt 9.63 sec, 200 meters:, Usain Bolt 19.30 sec, 4x100m relay:, Nesta carter, Michael Fater, Yohan Blake, Usain Bolt 36.84 sec"
RSA,"400 meters:, Wayde van Niekerk 43.03 sec"
KEN,"800 meters:, David Rudisha 1:40.91 min, Marathon:, Samuel Wanjiru 2:06:32 hr, 3 000 m steeplechase:, Conseslus Kipruto 8:03.28 min"
NOR,"1.500 meters:, Jakob Ingebrigtsen 3:28.32 min, 400 meters hurdles:, Karsten Warholm 45.94 sec, Javelin throw:, Andreas Thorkildsen 90.57 m"
ETH,"5 000 meters:, Kenenisa Bekele 12:57.82 min, 10 000 meters:, Kenenisa Bekele 27:01.17 min"
USA,"4x400 m relay:, LaShawn Merritt, Angelo Taulor, David Neville, Jeremy Wariner 2:55.39 min, High jump:, Charles Austin 2.39 m, Long jump:, Bob Beamon 8.90 m, Triple jump:, Kenny Harrison 18.09 m, Shot put:, Ryan Crouser 23.30 m"
CHN,"110 meters hurdles:, Liu Xiang 12.91 sec, 20 km walk:, Chen Ding 1:18.46 hr"
AUS,"50 km walk:, Jared Tallent 3:36.53 hr"
BRA,"Pole vault:, Thiago Braz 6.03 m"
LTU,"Discus throw:, Virgilijus Alekna 69.89 m"
RUS,"Hammer Throw:, Sergey Litvinov 84.80 m (USSR)"
CAN,"Decathlon:, Damian Warner 9018 pts"
