Nation,Population,Exists,First_App,Medal,S_Medal,W_Medal,Appearances (Total),Medals (Total),Gold,Silver,Bronze,Appearances (Summer),Medals (Summer),SO_Gold,SO_Silver,SO_Bronze,Appearances (Winter),Medals (Winter),WO_Gold,WO_Silver,WO_Bronze,MostSuccessfulSport,Medals,Golds,Silvers,Bronzes,id,Hosts (Total),Hosts (Summer),Hosts (Winter),HostInfo,RecordsM,RecordsW,Flag,Medals (Per capita),Aeronautics,Alpine Skiing,Alpinism,Archery,Art Competitions,Athletics,Badminton,Baseball,Basketball,Basque Pelota,Beach Volleyball,Biathlon,Bobsleigh,Boxing,Canoeing,Cricket,Croquet,Cross Country Skiing,Curling,Cycling,Diving,Equestrianism,Fencing,Figure Skating,Football,Freestyle Skiing,Golf,Gymnastics,Handball,Hockey,Ice Hockey,Jeu De Paume,Judo,Lacrosse,Luge,Military Ski Patrol,Modern Pentathlon,Motorboating,Nordic Combined,Polo,Racquets,Rhythmic Gymnastics,Roque,Rowing,Rugby,Rugby Sevens,Sailing,Shooting,Short Track Speed Skating,Skeleton,Ski Jumping,Snowboarding,Softball,Speed Skating,Swimming,Synchronized Swimming,Table Tennis,Taekwondo,Tennis,Trampolining,Triathlon,Tug-Of-War,Volleyball,Water Polo,Weightlifting,Wrestling
Afghanistan,35530081,YES,1936,0.14,0.14,0.00,14,2,0,0,2,14,2,0,0,2,0,0,0,0,0,Taekwondo,2,0,0,2,AFG,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Albania,2930187,YES,1972,0.00,0.00,0.00,12,0,0,0,0,8,0,0,0,0,4,0,0,0,0,-,0,0,0,0,ALB,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,41318142,YES,1964,1.06,1.31,0.00,16,17,5,4,8,13,17,5,4,8,3,0,0,0,0,Athletics,9,4,3,2,DZA,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,0.41,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,55641,YES,1988,0.00,0.00,0.00,9,0,0,0,0,8,0,0,0,0,1,0,0,0,0,-,0,0,0,0,ASM,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,76965,YES,1976,0.00,0.00,0.00,23,0,0,0,0,11,0,0,0,0,12,0,0,0,0,-,0,0,0,0,AND,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,29784193,YES,1980,0.00,0.00,0.00,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,-,0,0,0,0,AGO,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,102012,YES,1976,0.00,0.00,0.00,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,-,0,0,0,0,ATG,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,44271041,YES,1900,1.72,3.08,0.00,43,77,21,26,30,24,77,21,26,30,19,0,0,0,0,Footbal,4,2,2,0,ARG,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,1.74,0,0,0,0,0,5,0,0,24,0,0,0,0,24,0,0,0,0,0,2,0,1,5,0,68,0,0,0,0,81,0,0,2,0,0,0,0,0,0,9,0,0,0,6,0,0,21,1,0,0,0,0,0,0,3,0,0,1,7,0,0,0,12,0,2,0
Armenia,2930450,YES,1994,1.08,2.33,0.00,13,18,2,8,8,6,18,2,8,8,7,0,0,0,0,Wrestling,8,2,3,3,ARM,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8
Aruba,105264,YES,1988,0.00,0.00,0.00,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,-,0,0,0,0,ABW,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
